T.o.N.E.の学年及びT.o.N.E.ネームを教えてください。,からんころんのハーモニーの点数,からんころんのリズム・グルーヴの点数,からんころんの表現力の点数,からんころんのステージングの点数,からんころんのその他の点数,popcropのハーモニーの点数,popcropのリズム・グルーヴの点数,popcropの表現力の点数,popcropのステージングの点数,popcropのその他の点数,éLefsiのハーモニーの点数,éLefsiのリズム・グルーヴの点数,éLefsiの表現力の点数,éLefsiのステージングの点数,éLefsiのその他の点数,虹のパレード🌈のハーモニーの点数,虹のパレード🌈のリズム・グルーヴの点数,虹のパレード🌈の表現力の点数,虹のパレード🌈のステージングの点数,虹のパレード🌈のその他の点数,tendresseのハーモニーの点数,tendresseのリズム・グルーヴの点数,tendresseの表現力の点数,tendresseのステージングの点数,tendresseのその他の点数,全然いや突然。のハーモニーの点数,全然いや突然。のリズム・グルーヴの点数,全然いや突然。の表現力の点数,全然いや突然。のステージングの点数,全然いや突然。のその他の点数,D.a.W.N.のハーモニーの点数,D.a.W.N.のリズム・グルーヴの点数,D.a.W.N.の表現力の点数,D.a.W.N.のステージングの点数,D.a.W.N.のその他の点数,Leopoldyのハーモニーの点数,Leopoldyのリズム・グルーヴの点数,Leopoldyの表現力の点数,Leopoldyのステージングの点数,Leopoldyのその他の点数,はれいろのハーモニーの点数,はれいろのリズム・グルーヴの点数,はれいろの表現力の点数,はれいろのステージングの点数,はれいろのその他の点数,SPIRITSのハーモニーの点数,SPIRITSのリズム・グルーヴの点数,SPIRITSの表現力の点数,SPIRITSのステージングの点数,SPIRITSのその他の点数,うしぺんぎんのハーモニーの点数,うしぺんぎんのリズム・グルーヴの点数,うしぺんぎんの表現力の点数,うしぺんぎんのステージングの点数,うしぺんぎんのその他の点数,Helem.のハーモニーの点数,Helem.のリズム・グルーヴの点数,Helem.の表現力の点数,Helem.のステージングの点数,Helem.のその他の点数,Chatnoirのハーモニーの点数,Chatnoirのリズム・グルーヴの点数,Chatnoirの表現力の点数,Chatnoirのステージングの点数,Chatnoirのその他の点数,Higher Girlsのハーモニーの点数,Higher Girlsのリズム・グルーヴの点数,Higher Girlsの表現力の点数,Higher Girlsのステージングの点数,Higher Girlsのその他の点数,Period.のハーモニーの点数,Period.のリズム・グルーヴの点数,Period.の表現力の点数,Period.のステージングの点数,Period.のその他の点数,hälytysのハーモニーの点数,hälytysのリズム・グルーヴの点数,hälytysの表現力の点数,hälytysのステージングの点数,hälytysのその他の点数
審査員10,39,,37,45,8,36,37,20,30,0,43,41,20,6,3,16,20,33,21,2,,8,24,6,6,42,22,28,10,9,48,46,49,33,10,44,31,11,44,5,50,46,24,36,8,25,42,6,28,0,26,6,16,6,3,38,39,50,7,3,49,25,24,48,9,43,,21,35,9,23,17,18,35,7,33,36,23,28,10
審査員11,12,25,35,35,3,45,,37,48,9,22,32,6,23,0,47,12,31,44,5,31,18,31,20,7,40,4,7,49,0,47,39,8,37,1,47,45,7,25,1,3,25,10,42,6,14,33,8,10,7,24,48,26,47,1,15,37,46,14,4,46,17,15,23,3,4,9,26,47,3,1,2,33,12,6,7,29,48,25,4
審査員12,22,50,10,22,10,6,,,9,5,14,,28,43,,16,35,29,,0,34,12,32,35,7,46,14,23,22,4,3,35,36,44,8,41,4,19,1,8,24,26,,15,9,34,16,9,34,8,46,5,30,48,9,15,,36,44,4,23,31,40,5,10,,48,46,48,5,18,42,8,12,7,16,50,3,37,8
審査員13,48,11,11,30,0,,17,23,0,9,39,11,3,1,,30,42,,,10,12,,25,7,6,19,16,24,12,,,2,13,40,1,,4,47,1,8,24,49,37,23,6,28,18,17,1,2,23,46,31,14,5,10,,11,20,2,26,17,30,46,0,11,18,6,29,4,11,21,48,9,1,33,34,34,,1
審査員14,34,48,5,39,4,49,,32,21,9,15,35,50,28,6,45,8,42,6,2,,48,7,38,6,15,37,14,16,8,27,8,48,32,8,47,1,26,15,9,8,10,12,16,6,23,44,,,4,44,32,31,2,10,10,23,5,25,10,20,20,38,3,,,36,7,0,1,47,18,41,43,5,16,50,4,46,2
審査員15,,5,38,3,1,35,24,2,33,2,44,3,10,20,3,36,40,1,12,2,27,29,1,31,3,14,5,40,23,5,16,12,12,50,3,19,3,32,1,4,25,24,10,36,9,30,45,40,11,0,10,12,34,16,7,17,,22,18,7,11,22,49,21,2,48,17,43,,2,17,,39,37,0,24,34,4,34,7
審査員16,29,16,31,42,10,35,27,32,30,5,2,17,44,31,3,35,43,24,9,2,20,15,25,47,2,17,24,40,3,1,23,39,45,10,9,6,8,11,1,6,7,9,28,39,5,31,49,,17,8,19,22,35,35,4,44,9,30,28,3,20,45,40,26,0,,49,30,47,10,2,5,20,29,4,29,16,19,22,10
審査員17,27,3,11,22,10,8,0,21,35,4,,26,4,30,7,21,36,9,4,1,26,45,23,43,2,9,3,47,11,5,,12,1,20,0,29,50,5,35,6,12,42,46,37,2,23,13,39,24,2,16,17,46,36,1,16,5,32,37,10,21,29,0,30,9,16,1,12,17,8,9,2,2,28,8,39,19,18,14,
審査員18,46,42,37,21,5,3,41,39,1,10,47,18,25,7,,30,3,6,,1,45,34,16,46,7,33,30,15,37,8,22,34,7,39,9,30,3,,12,3,26,0,46,43,8,42,15,50,28,4,20,36,19,24,3,4,31,22,16,0,10,27,33,34,8,31,17,43,2,4,36,,27,9,8,33,31,15,9,6
審査員19,5,47,36,8,2,32,18,36,32,3,,31,30,15,3,34,13,33,27,5,27,24,6,3,10,28,35,27,5,3,26,36,32,49,5,32,6,44,24,7,45,33,38,5,6,42,30,15,9,4,8,18,0,22,9,19,15,,1,2,38,36,38,40,1,,37,48,45,9,17,22,0,15,8,16,48,27,46,1
審査員20,20,47,7,41,9,6,11,43,7,9,21,34,6,3,,12,50,42,19,4,46,35,11,,10,47,4,26,38,6,13,33,30,15,8,7,38,18,20,9,29,12,10,29,8,15,0,48,6,8,5,41,14,21,,27,28,38,26,10,33,24,39,10,10,35,17,23,40,1,43,3,,8,8,40,18,30,44,6
審査員21,43,34,50,33,7,6,23,1,15,5,19,3,40,0,5,14,9,48,20,3,30,30,33,46,2,45,0,6,,5,3,10,,31,9,1,34,,24,9,32,8,12,0,2,16,3,4,21,6,46,43,50,45,10,11,23,43,,2,32,12,24,25,3,26,50,45,,1,16,13,24,17,4,43,30,4,,3
審査員22,6,49,2,26,4,25,16,46,50,0,41,8,5,39,4,46,33,23,25,6,50,46,9,27,0,9,25,17,24,6,1,50,45,9,8,30,36,,42,5,27,7,27,32,10,48,2,,1,2,25,44,27,15,7,46,34,3,29,6,27,43,30,2,0,31,6,4,35,7,20,22,38,10,5,14,12,34,6,1
審査員23,27,8,22,35,3,30,,15,13,8,6,33,27,5,1,21,46,17,24,1,,19,44,48,,3,40,48,27,8,37,27,17,8,3,,9,14,25,3,35,30,23,10,4,34,1,3,17,9,35,48,43,19,1,,46,50,35,10,21,43,36,9,2,50,41,19,34,0,18,44,7,32,,31,46,25,13,2
審査員24,17,18,33,3,8,7,,31,38,10,43,50,,1,0,18,50,,26,4,32,6,17,21,10,,5,,7,5,20,9,16,43,8,36,10,15,7,6,27,37,45,40,5,37,38,3,18,5,,30,23,50,5,,31,38,12,9,13,13,44,18,8,10,46,50,8,1,33,8,36,41,8,17,15,40,50,6
審査員25,,46,44,46,7,2,27,39,4,6,5,31,6,28,10,,1,17,40,9,39,20,23,7,4,17,2,,9,1,24,17,41,33,4,22,35,41,39,4,12,,2,3,5,47,18,27,16,6,37,34,2,33,7,28,46,1,23,4,14,9,2,29,4,34,34,4,0,10,27,14,2,42,8,30,47,19,32,10
審査員26,20,13,39,9,4,49,15,21,2,9,17,31,28,33,5,16,35,4,1,,17,25,33,38,9,45,31,45,10,6,37,4,14,46,7,17,5,14,35,6,12,16,16,2,3,40,4,8,2,2,24,1,17,31,1,41,19,13,41,3,36,23,39,49,0,31,1,8,40,7,16,32,33,36,3,16,41,38,1,6
審査員27,30,28,14,43,1,34,2,10,38,0,14,29,1,34,7,0,10,28,17,5,41,33,,4,2,18,45,17,35,4,3,8,33,1,1,28,11,,,3,17,5,39,36,0,24,42,36,35,2,37,44,35,46,10,41,10,34,10,4,39,46,23,9,8,37,31,50,7,0,41,23,31,,10,38,29,3,47,10
審査員28,12,15,,16,,38,17,34,10,9,2,50,25,50,0,1,38,1,12,1,30,23,31,45,6,31,3,25,37,9,4,13,20,44,6,16,45,9,1,10,41,23,49,5,8,34,33,21,37,,30,39,,42,0,9,,20,49,1,21,7,5,5,6,8,39,22,33,5,30,19,45,9,1,33,18,30,45,10
審査員29,47,19,48,8,10,28,,48,12,4,34,16,,31,4,12,18,8,8,3,34,3,44,38,0,49,21,,,3,31,23,28,,6,38,15,3,22,0,7,36,42,46,4,,,31,26,5,27,1,24,49,2,,32,20,11,4,22,45,7,35,2,,34,16,37,8,26,39,26,2,9,9,50,25,36,1
審査員30,,48,39,22,1,23,4,34,17,6,43,47,29,28,7,16,13,6,7,,4,31,42,3,2,36,15,41,40,0,8,,32,7,,30,9,5,18,9,49,30,11,47,4,48,44,21,43,2,48,34,26,50,10,0,5,2,31,3,6,1,8,0,,5,47,14,37,10,6,45,37,10,1,5,48,0,2,5
審査員31,10,5,1,22,0,44,14,31,18,7,34,46,40,11,2,12,31,13,44,9,15,18,18,22,2,24,23,13,7,7,8,0,5,47,3,9,47,15,44,10,18,25,15,0,4,27,12,34,28,4,,7,44,6,10,41,42,37,8,0,21,19,15,30,2,45,30,2,34,,13,19,47,43,0,33,,32,45,7
審査員32,40,34,50,36,4,26,4,48,2,2,43,40,,5,3,31,22,8,27,4,24,5,14,32,,24,12,29,13,3,39,7,37,22,6,13,11,40,24,1,26,1,1,16,5,6,32,26,19,,49,25,5,46,6,18,14,20,,5,,31,2,10,10,9,8,,15,7,44,47,46,29,4,17,26,26,7,10
審査員33,10,11,5,8,2,1,15,48,37,0,27,1,8,21,2,28,21,12,5,4,34,17,33,24,10,7,15,,18,10,45,25,30,50,9,43,44,3,2,1,1,11,5,5,3,24,37,44,22,0,34,25,12,20,5,,6,,38,7,16,1,18,27,9,36,35,43,30,6,17,21,,28,4,7,8,47,8,5
審査員34,31,16,35,21,5,18,32,42,20,2,6,20,7,48,3,41,29,13,44,7,6,35,29,7,10,8,6,5,47,4,21,14,0,35,2,12,19,1,30,2,0,40,30,16,10,35,29,16,26,3,33,20,,39,3,7,19,35,25,7,35,34,0,31,4,34,5,22,28,2,9,18,19,33,7,47,13,6,22,0
審査員35,5,0,16,46,3,7,13,48,40,6,4,8,15,46,1,18,7,3,30,4,18,42,35,42,6,0,19,9,15,5,32,26,33,27,10,2,46,31,6,5,8,17,5,29,6,29,24,11,41,4,26,17,16,48,9,21,34,38,15,7,,,43,33,,48,23,30,26,2,22,35,2,49,7,32,36,46,40,0
審査員36,23,16,20,17,6,39,48,29,43,2,33,7,34,50,8,38,11,42,22,7,45,49,16,29,10,42,21,26,5,10,19,,24,28,5,2,31,25,15,5,,48,40,21,10,28,17,34,1,8,32,44,30,9,8,46,12,27,,8,37,9,,10,10,19,21,12,46,10,41,36,,29,3,25,32,22,0,2
審査員37,32,40,1,23,5,39,33,7,29,0,26,41,18,1,9,28,36,7,0,0,9,28,31,13,8,40,28,17,26,7,37,50,33,29,7,42,27,23,41,3,18,12,47,37,7,14,9,17,1,8,41,32,16,,7,49,48,8,3,4,3,20,1,36,8,32,31,14,39,2,50,0,3,31,9,14,3,46,36,1
審査員38,50,19,40,17,6,27,21,8,7,5,20,19,40,7,4,47,2,14,,2,,9,42,16,5,32,13,9,23,3,34,13,16,18,5,37,24,4,1,1,,31,13,24,7,26,45,21,40,9,0,23,34,22,5,,39,21,10,0,43,39,27,45,4,17,20,5,5,4,41,40,26,25,9,33,37,45,34,4
審査員39,10,8,37,4,8,36,25,6,42,1,33,41,18,34,8,39,0,35,5,1,0,34,41,50,1,12,4,31,31,3,1,30,49,31,10,26,29,46,14,3,41,16,22,13,1,3,17,45,27,8,15,,12,5,8,6,29,12,29,0,0,28,39,33,0,49,4,33,33,7,13,41,44,20,0,19,14,15,12,1
審査員40,46,20,13,29,10,38,17,,45,3,44,14,45,30,4,37,34,44,17,4,10,0,28,7,9,18,16,27,38,0,35,40,6,47,0,35,23,19,18,0,16,49,33,22,8,46,35,31,31,2,48,34,38,,6,5,46,46,44,0,29,,44,32,3,43,49,34,30,2,14,2,28,6,4,36,10,10,12,0
